stage, timestep, time, Elastic_strain_energy
4, 50, 24.6, 0.0573676
5, 1, 24.632, 0.036741
5, 2, 24.664, 0.0272859
5, 3, 24.696, 0.019791
5, 4, 24.728, 0.0136045
5, 5, 24.76, 0.00859189
5, 6, 24.792, 0.00472791
5, 7, 24.824, 0.00200939
5, 8, 24.856, 0.000436388
5, 9, 24.888, 9.29693e-06
5, 10, 24.92, 0.000728503
5, 11, 24.952, 0.0025944
5, 12, 24.984, 0.00560737
5, 13, 25.016, 0.00976777
5, 14, 25.048, 0.0150752
5, 15, 25.08, 0.0215229
5, 16, 25.112, 0.0290663
5, 17, 25.144, 0.0375032
5, 18, 25.176, 0.0461352
5, 19, 25.208, 0.053263
5, 20, 25.24, 0.0568424
5, 21, 25.272, 0.0574904
5, 22, 25.304, 0.0575099
5, 23, 25.336, 0.0575117
5, 24, 25.368, 0.0575136
5, 25, 25.4, 0.0575154
5, 26, 25.432, 0.0575173
5, 27, 25.464, 0.0575191
5, 28, 25.496, 0.0575209
5, 29, 25.528, 0.0575228
5, 30, 25.56, 0.0575246
5, 31, 25.592, 0.0575265
5, 32, 25.624, 0.0575283
5, 33, 25.656, 0.0575302
5, 34, 25.688, 0.057532
5, 35, 25.72, 0.0575338
5, 36, 25.752, 0.0575357
5, 37, 25.784, 0.0575375
5, 38, 25.816, 0.0575394
5, 39, 25.848, 0.0575412
5, 40, 25.88, 0.0575431
5, 41, 25.912, 0.0575449
5, 42, 25.944, 0.0575468
5, 43, 25.976, 0.0575486
5, 44, 26.008, 0.0575505
5, 45, 26.04, 0.0575523
5, 46, 26.072, 0.0575542
5, 47, 26.104, 0.057556
5, 48, 26.136, 0.0575579
5, 49, 26.168, 0.0575597
5, 50, 26.2, 0.0575616
6, 1, 26.2128, 0.0425185
6, 2, 26.2256, 0.0323988
6, 3, 26.2384, 0.0241402
6, 4, 26.2512, 0.017205
6, 5, 26.264, 0.0114639
6, 6, 26.2768, 0.006888
6, 7, 26.2896, 0.00347204
6, 8, 26.3024, 0.00121501
6, 9, 26.3152, 0.000116483
6, 10, 26.328, 0.000176061
6, 11, 26.3408, 0.00139335
6, 12, 26.3536, 0.00376794
6, 13, 26.3664, 0.00729945
6, 14, 26.3792, 0.0119874
6, 15, 26.392, 0.0178305
6, 16, 26.4048, 0.0248215
6, 17, 26.4176, 0.0329226
6, 18, 26.4304, 0.0419801
6, 19, 26.4432, 0.051493
6, 20, 26.456, 0.0602118
6, 21, 26.4688, 0.0661637
6, 22, 26.4816, 0.0684966
6, 23, 26.4944, 0.0689133
6, 24, 26.5072, 0.068953
6, 25, 26.52, 0.0689544
6, 26, 26.5328, 0.0689525
6, 27, 26.5456, 0.0689503
6, 28, 26.5584, 0.0689481
6, 29, 26.5712, 0.0689459
6, 30, 26.584, 0.0689437
6, 31, 26.5968, 0.0689415
6, 32, 26.6096, 0.0689393
6, 33, 26.6224, 0.0689371
6, 34, 26.6352, 0.0689349
6, 35, 26.648, 0.0689327
6, 36, 26.6608, 0.0689305
6, 37, 26.6736, 0.0689283
6, 38, 26.6864, 0.0689261
6, 39, 26.6992, 0.0689239
6, 40, 26.712, 0.0689217
6, 41, 26.7248, 0.0689195
6, 42, 26.7376, 0.0689173
6, 43, 26.7504, 0.0689151
6, 44, 26.7632, 0.0689129
6, 45, 26.776, 0.0689107
6, 46, 26.7888, 0.0689085
6, 47, 26.8016, 0.0689063
6, 48, 26.8144, 0.0689041
6, 49, 26.8272, 0.0689019
6, 50, 26.84, 0.0688997
7, 1, 26.8528, 0.0460743
7, 2, 26.8656, 0.0351684
7, 3, 26.8784, 0.0264977
7, 4, 26.8912, 0.0192249
7, 5, 26.904, 0.0131525
7, 6, 26.9168, 0.00823495
7, 7, 26.9296, 0.00446378
7, 8, 26.9424, 0.0018382
7, 9, 26.9552, 0.000358504
7, 10, 26.968, 2.50851e-05
7, 11, 26.9808, 0.000838331
7, 12, 26.9936, 0.00279863
7, 13, 27.0064, 0.00590638
7, 14, 27.0192, 0.0101619
7, 15, 27.032, 0.0155654
7, 16, 27.0448, 0.0221136
7, 17, 27.0576, 0.0297864
7, 18, 27.0704, 0.038492
7, 19, 27.0832, 0.0479049
7, 20, 27.096, 0.0571183
7, 21, 27.1088, 0.0643633
7, 22, 27.1216, 0.0680382
7, 23, 27.1344, 0.0689603
7, 24, 27.1472, 0.0690754
7, 25, 27.16, 0.069088
7, 26, 27.1728, 0.0690912
7, 27, 27.1856, 0.0690935
7, 28, 27.1984, 0.0690957
7, 29, 27.2112, 0.0690979
7, 30, 27.224, 0.0691001
7, 31, 27.2368, 0.0691023
7, 32, 27.2496, 0.0691045
7, 33, 27.2624, 0.0691068
7, 34, 27.2752, 0.069109
7, 35, 27.288, 0.0691112
7, 36, 27.3008, 0.0691134
7, 37, 27.3136, 0.0691156
7, 38, 27.3264, 0.0691178
7, 39, 27.3392, 0.0691201
7, 40, 27.352, 0.0691223
7, 41, 27.3648, 0.0691245
7, 42, 27.3776, 0.0691267
7, 43, 27.3904, 0.0691289
7, 44, 27.4032, 0.0691311
7, 45, 27.416, 0.0691334
7, 46, 27.4288, 0.0691356
7, 47, 27.4416, 0.0691378
7, 48, 27.4544, 0.06914
7, 49, 27.4672, 0.0691423
7, 50, 27.48, 0.0691445
8, 1, 27.4851, 0.0525488
8, 2, 27.4902, 0.0410909
8, 3, 27.4954, 0.0316535
8, 4, 27.5005, 0.0236062
8, 5, 27.5056, 0.0167765
8, 6, 27.5107, 0.0111186
8, 7, 27.5158, 0.00662186
8, 8, 27.521, 0.0032843
8, 9, 27.5261, 0.00110527
8, 10, 27.5312, 8.43658e-05
8, 11, 27.5363, 0.000221195
8, 12, 27.5414, 0.00151536
8, 13, 27.5466, 0.00396646
8, 14, 27.5517, 0.0075741
8, 15, 27.5568, 0.0123379
8, 16, 27.5619, 0.0182569
8, 17, 27.567, 0.0253277
8, 18, 27.5722, 0.0335334
8, 19, 27.5773, 0.042806
8, 20, 27.5824, 0.0529205
8, 21, 27.5875, 0.0632615
8, 22, 27.5926, 0.0725241
8, 23, 27.5978, 0.078939
8, 24, 27.6029, 0.0818447
8, 25, 27.608, 0.0826333
8, 26, 27.6131, 0.082782
8, 27, 27.6182, 0.0828051
8, 28, 27.6234, 0.0828067
8, 29, 27.6285, 0.0828048
8, 30, 27.6336, 0.0828022
8, 31, 27.6387, 0.0827996
8, 32, 27.6438, 0.082797
8, 33, 27.649, 0.0827943
8, 34, 27.6541, 0.0827917
8, 35, 27.6592, 0.082789
8, 36, 27.6643, 0.0827864
8, 37, 27.6694, 0.0827837
8, 38, 27.6746, 0.0827811
8, 39, 27.6797, 0.0827785
8, 40, 27.6848, 0.0827758
8, 41, 27.6899, 0.0827732
8, 42, 27.695, 0.0827705
8, 43, 27.7002, 0.0827679
8, 44, 27.7053, 0.0827653
8, 45, 27.7104, 0.0827626
8, 46, 27.7155, 0.08276
8, 47, 27.7206, 0.0827573
8, 48, 27.7258, 0.0827547
8, 49, 27.7309, 0.0827521
8, 50, 27.736, 0.0827494
8, 51, 27.736, 0.0827494
